,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
25,ref-sifre-n.134.5.3-ref-sifre-n.134.5.10,ref-sifre-d.26.1.1-ref-sifre-d.26.1.6,242540,242584,38497,38504,ref-sifre-n.134.5.3,ref-sifre-n.134.5.10,26740,26770,4470,4475,ref-sifre-d.26.1.1,ref-sifre-d.26.1.6,ואתחנן אל ה' במיני תחנונים בעת ההיא לאמר ,ואתחנן אל ה' בעת ההיא לאמור ,8,6,1079,25,0.36585365853658536,0.16666666666666663
26,ref-sifre-n.138.1.188-ref-sifre-n.138.1.193,ref-sifre-d.26.1.1-ref-sifre-d.26.1.6,249353,249382,39668,39673,ref-sifre-n.138.1.188,ref-sifre-n.138.1.193,26740,26770,4470,4475,ref-sifre-d.26.1.1,ref-sifre-d.26.1.6,ואתחנן אל ה' בעת ההיא לאמר ,ואתחנן אל ה' בעת ההיא לאמור ,6,6,1120,26,0.03571428571428571,0.0
27,ref-sifre-n.137.2.65-ref-sifre-n.137.2.70,ref-sifre-d.26.2.45-ref-sifre-d.26.2.52,247867,247902,39427,39432,ref-sifre-n.137.2.65,ref-sifre-n.137.2.70,27064,27106,4527,4534,ref-sifre-d.26.2.45,ref-sifre-d.26.2.52,אומרת בבקשה מכם הודיעו סורחני שלא ,אמרה לך בבקשה ממך המלך הודיע סורחני שלא ,6,8,1109,27,0.325,0.6
29,ref-sifre-n.142.1.34-ref-sifre-n.142.1.41,ref-sifre-d.26.2.46-ref-sifre-d.26.2.56,252692,252732,40220,40227,ref-sifre-n.142.1.34,ref-sifre-n.142.1.41,27069,27128,4528,4538,ref-sifre-d.26.2.46,ref-sifre-d.26.2.56,והיתה מפקדתו על בניה אמרה לו בבקשה ממך ,לך בבקשה ממך המלך הודיע סורחני שלא יהיו בני המלך אומרים ,8,11,1133,29,0.7321428571428571,0.6666666666666667
30,ref-sifre-n.137.2.29-ref-sifre-n.137.2.39,ref-sifre-d.26.2.97-ref-sifre-d.26.2.107,247678,247734,39395,39405,ref-sifre-n.137.2.29,ref-sifre-n.137.2.39,27336,27394,4575,4585,ref-sifre-d.26.2.97,ref-sifre-d.26.2.107,אמר יכתב סורחני על אשר מריתם פי במדבר סין במריבת העדה ,שנאמר על אשר מריתם פי במי מריבה במדבר סין במריבת העדה ,11,11,1108,30,0.42592592592592593,0.4285714285714286
31,ref-sifre-n.137.1.1-ref-sifre-n.137.1.8,ref-sifre-d.26.2.98-ref-sifre-d.26.2.105,247378,247417,39339,39346,ref-sifre-n.137.1.1,ref-sifre-n.137.1.8,27343,27380,4576,4583,ref-sifre-d.26.2.98,ref-sifre-d.26.2.105,על אשר מריתם פי במדבר מריבה במדבר סין ,על אשר מריתם פי במי מריבה במדבר סין ,8,8,1107,31,0.07894736842105263,0.125
32,ref-sifre-n.105.1.503-ref-sifre-n.105.1.506,ref-sifre-d.26.7.70-ref-sifre-d.26.7.73,144717,144741,22614,22617,ref-sifre-n.105.1.503,ref-sifre-n.105.1.506,29094,29118,4896,4899,ref-sifre-d.26.7.70,ref-sifre-d.26.7.73,ואתנפל לפני ה' כראשונה ,ואתנפל לפני ה' כראשונה ,4,4,645,32,0.0,0.0
33,ref-sifre-n.105.1.392-ref-sifre-n.105.1.397,ref-sifre-d.26.7.96-ref-sifre-d.26.8.3,144186,144215,22522,22527,ref-sifre-n.105.1.392,ref-sifre-n.105.1.397,29237,29276,4922,4929,ref-sifre-d.26.7.96,ref-sifre-d.26.8.3,ואתחנן אל ה' בעת ההיא לאמר ,חנון מנין ואתחנן אל ה' בעת ההיא לאמר ,6,8,643,33,0.2702702702702703,0.2857142857142857
34,ref-sifre-n.134.5.3-ref-sifre-n.134.5.10,ref-sifre-d.26.7.96-ref-sifre-d.26.8.3,242540,242584,38497,38504,ref-sifre-n.134.5.3,ref-sifre-n.134.5.10,29237,29276,4922,4929,ref-sifre-d.26.7.96,ref-sifre-d.26.8.3,ואתחנן אל ה' במיני תחנונים בעת ההיא לאמר ,חנון מנין ואתחנן אל ה' בעת ההיא לאמר ,8,8,1080,34,0.5121951219512195,0.375
35,ref-sifre-n.138.1.188-ref-sifre-n.138.1.193,ref-sifre-d.26.7.96-ref-sifre-d.26.8.3,249353,249382,39668,39673,ref-sifre-n.138.1.188,ref-sifre-n.138.1.193,29237,29276,4922,4929,ref-sifre-d.26.7.96,ref-sifre-d.26.8.3,ואתחנן אל ה' בעת ההיא לאמר ,חנון מנין ואתחנן אל ה' בעת ההיא לאמר ,6,8,1121,35,0.2702702702702703,0.2857142857142857
