,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
762,ref-bible.0105.25.5.11-ref-bible.0105.25.5.17,ref-sifre-d.288.4.28-ref-sifre-d.288.4.34,389190,389222,65144,65150,ref-bible.105.25.5.11,ref-bible.105.25.5.17,273649,273681,45726,45732,ref-sifre-d.288.4.28,ref-sifre-d.288.4.34,לא תהיה אשת המת החוצה לאיש זר ,לא תהי' אשת המת החוצה לאיש זר ,7,7,762,1045,0.03333333333333333,0.06451612903225812,0.03333333333333333
763,ref-bible.0105.25.5.11-ref-bible.0105.25.5.17,ref-sifre-d.288.4.79-ref-sifre-d.288.4.85,389190,389222,65144,65150,ref-bible.105.25.5.11,ref-bible.105.25.5.17,273915,273947,45775,45781,ref-sifre-d.288.4.79,ref-sifre-d.288.4.85,לא תהיה אשת המת החוצה לאיש זר ,לא תהיה אשת המת החוצה לאיש זר ,7,7,763,1046,0.0,0.0,0.0
764,ref-bible.0105.25.5.24-ref-bible.0105.25.6.10,ref-sifre-d.289.1.37-ref-sifre-d.289.3.5,389253,389306,65157,65166,ref-bible.105.25.5.24,ref-bible.105.25.6.10,274483,274550,45878,45889,ref-sifre-d.289.1.37,ref-sifre-d.289.3.5,ויבמה והיה הבכור אשר תלד יקום על שם אחיו המת ולא ,ליבם אשר תלד פרט לאילונית שאינה ראויה לילד יקום על שם אחיו ולא ,11,13,764,1047,0.5555555555555556,0.4225352112676056,0.47619047619047616
765,ref-bible.0105.25.6.9-ref-bible.0105.25.7.4,ref-sifre-d.289.4.22-ref-sifre-d.289.6.4,389297,389342,65165,65172,ref-bible.105.25.6.9,ref-bible.105.25.7.4,274777,274867,45935,45950,ref-sifre-d.289.4.22,ref-sifre-d.289.6.4,המת ולא ימחה שמו מישראל ואם לא יחפץ האיש ,המת ריבה הכתוב ולא ימחה שמו מישראל פרט לסריס לאשת סריס ששמו מחוי ואם לא יחפץ האיש ,9,17,765,1048,0.5,0.5,0.5
766,ref-bible.0105.25.7.12-ref-bible.0105.25.7.19,ref-sifre-d.289.8.11-ref-sifre-d.289.9.6,389380,389429,65179,65186,ref-bible.105.25.7.12,ref-bible.105.25.7.19,275247,275287,46018,46024,ref-sifre-d.289.8.11,ref-sifre-d.289.9.6,הזקנים ואמרה מאין יבמי להקים לאחיו שם בישראל ,בזקנים מאן יבמי להקים לאחיו שם בישראל ,8,7,766,1049,0.17777777777777778,0.19565217391304346,0.17777777777777778
768,ref-bible.0105.25.7.19-ref-bible.0105.25.8.6,ref-sifre-d.289.10.21-ref-sifre-d.290.2.2,389422,389473,65186,65195,ref-bible.105.25.7.19,ref-bible.105.25.8.6,275658,275775,46095,46116,ref-sifre-d.289.10.21,ref-sifre-d.290.2.2,בישראל לא אבה יבמי וקראו לו זקני עירו ודברו אליו ,בישראל ולא בגרים לא אבה יבמי ולא שלא אבה בה המקום וקראו לו זקני עירו מצוה בזקני עירו ולא בשלוחם ודברו אליו ,10,22,768,1051,0.5420560747663551,0.5420560747663552,0.5420560747663551
769,ref-bible.0105.25.8.7-ref-bible.0105.25.9.5,ref-sifre-d.290.3.1-ref-sifre-d.291.1.5,389474,389533,65196,65205,ref-bible.105.25.8.7,ref-bible.105.25.9.5,275985,276117,46158,46181,ref-sifre-d.290.3.1,ref-sifre-d.291.1.5,ועמד ואמר לא חפצתי לקחתה ונגשה יבמתו אליו לעיני הזקנים ,ועמד ואמר לא חפצתי לקחתה מלמד שאין אומר דבריו אלא בעמידה לא חפצתי לקחתה ולא שלא חפץ בה המקום ונגשה יבמתו אליו לעיני הזקנים ,10,24,769,1052,0.5528455284552846,0.5528455284552846,0.5528455284552846
771,ref-bible.0105.25.9.14-ref-bible.0105.25.9.22,ref-sifre-d.291.7.44-ref-sifre-d.291.8.6,389582,389620,65214,65220,ref-bible.105.25.9.14,ref-bible.105.25.9.22,277173,277235,46363,46373,ref-sifre-d.291.7.44,ref-sifre-d.291.8.6,ככה יעשה לאיש אשר לא יבנה את בית אחיו ,ככה יעשה לאיש כל דבר שהוא מעשה באיש אשר לא יבנה את בית אחיו ,9,14,771,1054,0.36666666666666664,0.3666666666666667,0.36666666666666664
772,ref-bible.0105.25.10.5-ref-bible.0105.25.11.3,ref-sifre-d.291.10.38-ref-sifre-d.292.1.3,389644,389668,65225,65229,ref-bible.105.25.10.5,ref-bible.105.25.11.3,277573,277608,46427,46433,ref-sifre-d.291.10.38,ref-sifre-d.292.1.3,חלוץ הנעל כי ינצו אנשים ,חלוץ הנעל חלוץ הנעל כי ינצו אנשים ,5,7,772,1055,0.29411764705882354,0.2941176470588235,0.29411764705882354
773,ref-bible.0105.25.11.4-ref-bible.0105.25.11.12,ref-sifre-d.292.2.15-ref-sifre-d.292.4.13,389669,389715,65230,65237,ref-bible.105.25.11.4,ref-bible.105.25.11.12,277922,278055,46496,46516,ref-sifre-d.292.2.15,ref-sifre-d.292.4.13,יחדו איש ואחיו וקרבה אשת האחד להציל את אישה ,"יחדו מ""ממכל מקום איש ואחיו פרט לעבדים שאין להם אחוה דברי ר' יהודה וקרבה אשת האחד ושלחה אשת איש ולא אשת שליח ב""ד להציל את אישה ",9,26,773,1058,0.6507936507936508,0.6507936507936508,0.6507936507936508
