,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,baseWork
77,ref-mek.1.12.1.74-ref-mek.1.12.1.80,ref-sifra.11.03-07.12.11-ref-sifra.11.03-07.12.20,40357,40395,6240,6245,ref-mek.1.12.1.74,ref-mek.1.12.1.80,505405,505454,77071,77080,ref-sifra.11.3-07.12.11,ref-sifra.11.3-07.12.20,לזקנים שנאמר לך ואספת את זקני ישראל ,זקן אלא חכם שנאמר אספה לי שבעים איש מזקני ישראל ,ref-sifra
78,ref-mek.1.12.2.34-ref-mek.1.12.2.53,ref-sifra.8.01-00.15.1-ref-sifra.8.01-00.15.20,41163,41261,6371,6390,ref-mek.1.12.2.34,ref-mek.1.12.2.53,368518,368613,55559,55577,ref-sifra.8.1-00.15.1,ref-sifra.8.1-00.15.20,אזוב ולא אזוב יון ולא אזוב רומי ולא אזוב כחלית ולא אזוב מדברית ולא כל אזוב שיש עליו שם לווי ,אזוב ולא אזוב יון ולא אזוב כחלית ולא אזוב רומי ולא אזוב מדברי ולא כל אזוב שיש לו שם לווי ,ref-mek
79,ref-mek.1.12.2.34-ref-mek.1.12.2.53,ref-sifra.8.01-00.15.1-ref-sifra.8.01-00.15.20,41163,41261,6371,6390,ref-mek.1.12.2.34,ref-mek.1.12.2.53,368518,368613,55559,55577,ref-sifra.8.1-00.15.1,ref-sifra.8.1-00.15.20,אזוב ולא אזוב יון ולא אזוב רומי ולא אזוב כחלית ולא אזוב מדברית ולא כל אזוב שיש עליו שם לווי ,אזוב ולא אזוב יון ולא אזוב כחלית ולא אזוב רומי ולא אזוב מדברי ולא כל אזוב שיש לו שם לווי ,ref-sifra
80,ref-mek.1.12.2.345-ref-mek.1.12.3.3,ref-sifra.5.1.35.63-ref-sifra.5.1.35.67,42838,42861,6633,6637,ref-mek.1.12.2.345,ref-mek.1.12.3.3,250302,250325,36787,36791,ref-sifra.5.1.35.63,ref-sifra.5.1.35.67,ה' וגו' ועבר ה' לנגוף ,ה' וימותו לפני ה' נגפן ,ref-mek
81,ref-mek.1.12.2.345-ref-mek.1.12.3.3,ref-sifra.5.1.35.63-ref-sifra.5.1.35.67,42838,42861,6633,6637,ref-mek.1.12.2.345,ref-mek.1.12.3.3,250302,250325,36787,36791,ref-sifra.5.1.35.63,ref-sifra.5.1.35.67,ה' וגו' ועבר ה' לנגוף ,ה' וימותו לפני ה' נגפן ,ref-sifra
82,ref-mek.1.12.3.201-ref-mek.1.12.3.213,ref-sifra.14.01-01.1.95-ref-sifra.14.01-01.1.105,43888,43972,6814,6826,ref-mek.1.12.3.201,ref-mek.1.12.3.213,646357,646416,98360,98369,ref-sifra.14.1-01.1.95,ref-sifra.14.1-01.1.105,גרם עונותינו שנאמר כי עונותיכם היו מבדילים ביניכם ובין אלהיהם וחטאתיכם הסתירו מכם ,גורם לקיים מה שנאמר עונותיכם  אלה וחטאתיכם מנעו הטוב מכם ,ref-mek
83,ref-mek.1.12.3.201-ref-mek.1.12.3.213,ref-sifra.14.01-01.1.95-ref-sifra.14.01-01.1.105,43888,43972,6814,6826,ref-mek.1.12.3.201,ref-mek.1.12.3.213,646357,646416,98360,98369,ref-sifra.14.1-01.1.95,ref-sifra.14.1-01.1.105,גרם עונותינו שנאמר כי עונותיכם היו מבדילים ביניכם ובין אלהיהם וחטאתיכם הסתירו מכם ,גורם לקיים מה שנאמר עונותיכם  אלה וחטאתיכם מנעו הטוב מכם ,ref-sifra
84,ref-mek.1.12.4.6-ref-mek.1.12.4.14,ref-sifra.4.06-00.11.19-ref-sifra.4.06-00.11.27,44012,44058,6833,6841,ref-mek.1.12.4.6,ref-mek.1.12.4.14,193706,193749,28027,28035,ref-sifra.4.6-00.11.19,ref-sifra.4.6-00.11.27,פסח דורות שלא יביא אלא מן הכבשים ומן העזים ,והלא אין פסח בא אלא מן הכבשים ומן העזים ,ref-mek
85,ref-mek.1.12.4.6-ref-mek.1.12.4.14,ref-sifra.4.06-00.11.19-ref-sifra.4.06-00.11.27,44012,44058,6833,6841,ref-mek.1.12.4.6,ref-mek.1.12.4.14,193706,193749,28027,28035,ref-sifra.4.6-00.11.19,ref-sifra.4.6-00.11.27,פסח דורות שלא יביא אלא מן הכבשים ומן העזים ,והלא אין פסח בא אלא מן הכבשים ומן העזים ,ref-sifra
86,ref-mek.1.16.1.44-ref-mek.1.16.1.49,ref-sifra.1.7.11-ref-sifra.1.7.16,57112,57141,8921,8926,ref-mek.1.16.1.44,ref-mek.1.16.1.49,1644,1674,270,275,ref-sifra.1.7.11,ref-sifra.1.7.16,פרט כלל ופרט אין בכלל אלא מה ,פרט כלל ופרט' אין בכלל אלא מה ,ref-mek
