המחיצות,ref-sifre-n.1.3.85
וישלחו,ref-sifre-n.1.4.1
מן,ref-sifre-n.1.4.2
המחנה,ref-sifre-n.1.4.3
כל,ref-sifre-n.1.4.4
צרוע,ref-sifre-n.1.4.5
וכל,ref-sifre-n.1.4.6
זב,ref-sifre-n.1.4.7
וכל,ref-sifre-n.1.4.8
טמא,ref-sifre-n.1.4.9
לנפש,ref-sifre-n.1.4.10
שומע,ref-sifre-n.1.4.11
אני,ref-sifre-n.1.4.12
ששלשתן,ref-sifre-n.1.4.13
במקום,ref-sifre-n.1.4.14
אחד,ref-sifre-n.1.4.15
תלמוד,ref-sifre-n.1.4.16
לומר,ref-sifre-n.1.4.17
במצורע,ref-sifre-n.1.4.18
בדד,ref-sifre-n.1.4.19
ישב,ref-sifre-n.1.4.20
מחוץ,ref-sifre-n.1.4.21
למחנה,ref-sifre-n.1.4.22
מושבו,ref-sifre-n.1.4.23
מצורע,ref-sifre-n.1.4.24
היה,ref-sifre-n.1.4.25
בכלל,ref-sifre-n.1.4.26
ויצא,ref-sifre-n.1.4.27
מן,ref-sifre-n.1.4.28
הכלל,ref-sifre-n.1.4.29
ולמד,ref-sifre-n.1.4.30
על,ref-sifre-n.1.4.31
הכלל,ref-sifre-n.1.4.32
מה,ref-sifre-n.1.4.33
מצורע,ref-sifre-n.1.4.34
שהוחמרה,ref-sifre-n.1.4.35
טומאתו,ref-sifre-n.1.4.36
חמור,ref-sifre-n.1.4.37
שלוחו,ref-sifre-n.1.4.38
משלוח,ref-sifre-n.1.4.39
חברו,ref-sifre-n.1.4.40
אף,ref-sifre-n.1.4.41
כל,ref-sifre-n.1.4.42
שהוחמרה,ref-sifre-n.1.4.43
טומאתו,ref-sifre-n.1.4.44
חמור,ref-sifre-n.1.4.45
שלוחו,ref-sifre-n.1.4.46
משלוח,ref-sifre-n.1.4.47
חברו,ref-sifre-n.1.4.48
מכאן,ref-sifre-n.1.4.49
מנו,ref-sifre-n.1.4.50
חכמים,ref-sifre-n.1.4.51
למחיצות,ref-sifre-n.1.4.52
כל,ref-sifre-n.1.4.53
שהזב,ref-sifre-n.1.4.54
מטמא,ref-sifre-n.1.4.55
מצורע,ref-sifre-n.1.4.56
מטמא,ref-sifre-n.1.4.57
חמור,ref-sifre-n.1.4.58
מצורע,ref-sifre-n.1.4.59
שמטמא,ref-sifre-n.1.4.60
בביאה,ref-sifre-n.1.4.61
כל,ref-sifre-n.1.4.62
שטמא,ref-sifre-n.1.4.63
מת,ref-sifre-n.1.4.64
מטמא,ref-sifre-n.1.4.65
זב,ref-sifre-n.1.4.66
מטמא,ref-sifre-n.1.4.67
חמור,ref-sifre-n.1.4.68
הוב,ref-sifre-n.1.4.69
שהוא,ref-sifre-n.1.4.70
מטמא,ref-sifre-n.1.4.71
תחת,ref-sifre-n.1.4.72
אבן,ref-sifre-n.1.4.73
מסמא,ref-sifre-n.1.4.74
כל,ref-sifre-n.1.4.75
שטבול,ref-sifre-n.1.4.76
יום,ref-sifre-n.1.4.77
מטמא,ref-sifre-n.1.4.78
טמא,ref-sifre-n.1.4.79
מת,ref-sifre-n.1.4.80
מטמא,ref-sifre-n.1.4.81
חמור,ref-sifre-n.1.4.82
טמא,ref-sifre-n.1.4.83
מת,ref-sifre-n.1.4.84
שהוא,ref-sifre-n.1.4.85
