ref-Sifra.1.13.30,בכלל
ref-Sifra.1.13.31,׳עור
ref-Sifra.1.13.32,ובשר׳
ref-Sifra.1.13.33,היו
ref-Sifra.1.13.34,וכשיצאו
ref-Sifra.1.13.35,מן
ref-Sifra.1.13.36,הכלל
ref-Sifra.1.13.37,ליטען
ref-Sifra.1.13.38,טען
ref-Sifra.1.13.39,אחד
ref-Sifra.1.13.40,שלא
ref-Sifra.1.13.41,כענינו
ref-Sifra.1.13.42,יצאו
ref-Sifra.1.13.43,להקל
ref-Sifra.1.13.44,ולהחמיר
ref-Sifra.1.13.45,להקל
ref-Sifra.1.13.46,עליהן
ref-Sifra.1.13.47,שלא
ref-Sifra.1.13.48,ידונו
ref-Sifra.1.13.49,כשער
ref-Sifra.1.13.50,לבן
ref-Sifra.1.13.51,ולהחמיר
ref-Sifra.1.13.52,עליהן
ref-Sifra.1.13.53,שידונו
ref-Sifra.1.13.54,כשער
ref-Sifra.1.13.55,צהוב
ref-Sifra.1.14.1,כל_דבר_שהיה_בכלל_ויצא_מן
ref-Sifra.1.14.7,הכלל
ref-Sifra.1.14.8,לידון
ref-Sifra.1.14.9,בדבר
ref-Sifra.1.14.10,חדש
ref-Sifra.1.14.11,ואי
ref-Sifra.1.14.12,אתה
ref-Sifra.1.14.13,יכל
ref-Sifra.1.14.14,להחזירו
ref-Sifra.1.14.15,לכללו
ref-Sifra.1.14.16,עד
ref-Sifra.1.14.17,שיחזירנו
ref-Sifra.1.14.18,הכתוב
ref-Sifra.1.14.19,לכללו
ref-Sifra.1.14.20,בפירוש
ref-Sifra.1.14.21,כיצד
ref-Sifra.1.14.22,ושחט
ref-Sifra.1.14.23,את
ref-Sifra.1.14.24,הכבש
ref-Sifra.1.14.25,במקום
ref-Sifra.1.14.26,אשר
ref-Sifra.1.14.27,ישחט
ref-Sifra.1.14.28,את
ref-Sifra.1.14.29,החטאת
ref-Sifra.1.14.30,ואת
ref-Sifra.1.14.31,העולה
ref-Sifra.1.14.32,במקו׳
ref-Sifra.1.14.33,הקדש
ref-Sifra.1.14.34,שאין
ref-Sifra.1.14.35,תלמוד
ref-Sifra.1.14.36,לו׳
ref-Sifra.1.14.37,כי
ref-Sifra.1.14.38,כחטאת
ref-Sifra.1.14.39,האשם
ref-Sifra.1.14.40,הוא
ref-Sifra.1.14.41,לכהן
ref-Sifra.1.14.42,אלא
ref-Sifra.1.14.43,לפי
ref-Sifra.1.14.44,שיצא
ref-Sifra.1.14.45,לידון
ref-Sifra.1.14.46,בדבר
ref-Sifra.1.14.47,חדש
ref-Sifra.1.14.48,בבוהן
ref-Sifra.1.14.49,יד
ref-Sifra.1.14.50,ובבוהן
ref-Sifra.1.14.51,רגל
ref-Sifra.1.14.52,ובאזן
ref-Sifra.1.14.53,ימנית
ref-Sifra.1.14.54,יכול
ref-Sifra.1.14.55,יהא
ref-Sifra.1.14.56,טעון
ref-Sifra.1.14.57,מתן
ref-Sifra.1.14.58,דמים
ref-Sifra.1.14.59,למזכח
ref-Sifra.1.14.60,תל_ל_״כי
ref-Sifra.1.14.63,כחטאת
ref-Sifra.1.14.64,כאשם
ref-Sifra.1.14.65,הוא
ref-Sifra.1.14.66,לכהן
ref-Sifra.1.14.67,כחטאת
ref-Sifra.1.14.68,כאשם
ref-Sifra.1.14.69,הוא
ref-Sifra.1.14.70,לכהן
ref-Sifra.1.14.71,הרי
ref-Sifra.1.14.72,החזירו
ref-Sifra.1.14.73,הכתוב
ref-Sifra.1.14.74,לכללו
ref-Sifra.1.14.75,בפירוש
ref-Sifra.1.14.76,לומר
ref-Sifra.1.14.77,לך
ref-Sifra.1.14.78,מה
ref-Sifra.1.14.79,חטאת
ref-Sifra.1.14.80,טעונה
ref-Sifra.1.14.81,מתן
ref-Sifra.1.14.82,מזבח
ref-Sifra.1.14.83,אף
ref-Sifra.1.14.84,אשם
ref-Sifra.1.14.85,טעון
ref-Sifra.1.14.86,מתן
ref-Sifra.1.14.87,מזבח
ref-Sifra.1.15.1,דבר
ref-Sifra.1.15.2,הלמד
ref-Sifra.1.15.3,מענינו
ref-Sifra.1.15.4,כיצד
ref-Sifra.1.15.5,ואיש
