lemma,pointer_in_volume,provenance
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-31,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-32,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-33,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-34,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-35,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-36,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-37,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-38,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-39,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-40,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-41,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-42,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-43,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-44,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-45,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-46,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-47,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-48,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-49,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-50,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-51,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-52,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-53,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-54,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-55,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-56,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-57,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-58,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-59,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-60,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-61,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-62,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-63,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-64,Babylonia 
