lemma	pointer_in_volume	details								
 AcelliusAcellius	Vol-3-L_M-d8e69-person	Epitaph	 Venosa	 Angelis & Smith 						
 AcesoniusAcesonius	Vol-3-L_M-d8e114-person	Donation inscription	 Jerusalem	 Isaac 						
 AcetasAcetas	Vol-3-S-G_M-d8e106-person	Epitaph	 Pamphylia 							
 ????????Achaius	Vol-3-G_M-d8e13974-person	Epitaph	 Villa Torlonia	 Fasola 						
 ????????Achaius	Vol-3-G_M-d8e14018-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 ????????Achaius	Vol-3-G_M-d8e14050-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 AchillasAchillas	Vol-3-E_M-d8e19-person	Ostraca	 Edfu	 Manteuffel 						
 ??????????Achilleus	Vol-3-G_M-d8e14095-person	Papyrus	 Oxyrhynchus	 Grenfell & Hunt 						
 ??????????Achilleus	Vol-3-G_M-d8e14127-person	Renovation inscription	 Olbia	Osann 						
 ??????????Achilleus	Vol-3-G_M-d8e14181-person	Dedicatory inscription	 Reynolds & Tannenbaum 							
 AchillionAchillion	Vol-3-E_M-d8e83-person	Dedicatory inscription	 Xenephyris	 Breccia 						
 ????????Acholia	Vol-3-G_F-d8e3810-person	Epitaph	 Jaffa (Israel)	 Schick 						
 ?????????Acholius	Vol-3-G_M-d8e14229-person	Epitaph	 Apulia	 Diehl 						
 ?????????Acholius	Vol-3-G_M-d8e14265-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 ?????????Achyrius	Vol-3-G_M-d8e14315-person	Synagogue inscription	 Stobi	 Petrovi? 						
 AciarisAciaris	Vol-3-E_M-d8e141-person	Papyrus	 Fayum	 Kortenbeutel 						
 AciesAcies	Vol-3-E_M-d8e190-person	Ostracon	 Edfu	 Manteuffel 						
 AciesAcies	Vol-3-E_M-d8e225-person	Ostracon	 Edfu	 Manteuffel 						
 ??????Acme	Vol-2-G_F-d8e62-person	Amulet	 Syria	 Schwab 						
 AconiusAconius	Vol-2-L_M-d8e15-person	Epitaph	 Rome	 Schneider Graziosi 						
 ActiaActia	Vol-3-L_F-d8e16-person	Epitaph	 Soklos	 Diehl 						
 AcuntasAcuntas	Vol-3-E_M-d8e274-person	Ostraca	 Edfu	 Manteuffel 						
 AcuntasAcuntas	Vol-3-E_M-d8e312-person	Ostracon	 Edfu	 Manteuffel 						
 AcuntasAcuntas	Vol-3-E_M-d8e350-person	Ostracon	 Edfu	 Manteuffel 						
 ?ad?ad	Vol-4-I_M-d8e6211-person	Seal 								
 ???Ada	Vol-2-S-H_M-d8e5449-person	Synagogue inscription	 Hammat Gader	 Sukenik 						
 ???Ada	Vol-2-S-H_M-d8e5477-person	Epitaph	 Beth She‘arim 							
 ???Ada	Vol-2-S-H_M-d8e5505-person	Epitaph	 Beth She‘arim	 Avigad 						
 ???Ada	Vol-2-S-H_M-d8e5541-person	Sarcophagus	 Naveh	Schwabe 						
 ???Ada	Vol-2-S-H_M-d8e5596-person	Synagogue inscription	 Rehov							
                   										
 ???Ada	Vol-4-S-H_M-d8e8245-person	Incantation bowl	 Schøyen collection 							
 ???Ada	Vol-4-S-H_M-d8e8283-person	Seal	 Berlin 							
 ???Ada	Vol-4-S-H_M-d8e8325-person	Seal	 Berlin 							
 ????A?dab	Vol-4-A_M-d8e150-person	Incantation bowl	 Berlin 							
 AdacesAdaces	Vol-4-I_M-d8e168-person	Incantation bowl	 Nippur	 Montgomery 						
 AdacesAdaces	Vol-4-I_M-d8e203-person	Incantation bowl	 private collection	 Gordon 						
 ???Adi	Vol-1-S-H_M-d2e1086-person	Papyrus	 deed	 Muraba‘at 						
 ???Adi	Vol-3-S-H_M-d8e1162-person	Ostraca	 Upper Egypt	 Tait & Préaux & Sayce 						
 ???Adi	Vol-3-S-H_M-d8e1234-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 ???Adi	Vol-3-S-H_M-d8e1269-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 ???Adi	Vol-3-S-H_M-d8e1304-person	Graffito	 Teucheira	 Oliverio 						
 AdibAdib	Vol-4-I_M-d8e593-person	Incantation bowls	 Moussyaieff collection; Shøyen collection 							
 ????Adio	Vol-2-S-H_M-d8e20844-person	Epitaph	 Zoar 							
 ??????Adnon	Vol-4-S-H_M-d8e30015-person	Epitaph	 Mad??in ??li? 							
 ??????Adnon	Vol-4-S-H_M-d8e30053-person	Epitaph	 Mad??in ??li? 							
 ?????????Adolius	Vol-3-G_M-d8e1124-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 ????????Adonis	Vol-3-G_M-d8e1174-person	Epitaph	 Teucheira	 Wright 						
 ??????Aega	Vol-2-G_M-d8e332-person	Synagogue inscription	 Ramat Aviv							
                   										
 ????????Aegius	Vol-3-G_M-d8e1783-person	Papyrus	 Vienna 							
 AeleiusAeleius	Vol-4-L_M-d8e15-person	Burial cave contract	 Palmyra 							
 AeliaAelia	Vol-3-L_F-d8e63-person	Epitaph	 Vigna Randanini	 Garrucci 						
 AeliaAelia	Vol-3-L_F-d8e101-person	Epitaph	 Vigna Randanini	 Garrucci 						
 AeliaAelia	Vol-3-L_F-d8e139-person	Epitaph	 Vigna Randanini	 Garrucci 						
 AeliaAelia	Vol-3-L_F-d8e176-person	Vigna Randanini	 Garrucci 							
