person:nym,person:lemma_en,person:lemma_ancient,person:orthography,person:sex,person:hebrew,person:greek,person:checkme,person:id,person:pointer_in_volume,name:id,name:form,name:language_type,name:gender_type
 Ḥaṭb-حطب,Ḥaṭb,حطب,,M,,,,Vol-4-A_M-d8e3035-person,Vol-4-A_M-Arabic-Males-Ḥaṭb-1,name-ab-d1e610016,Ḥaṭb-حطب,A,M 
 Ṣaʿba-صعبة,Ṣaʿba,صعبة,–,F,,,,Vol-4-A_F-d8e474-person,Vol-4-A_F-Arabic-Females-Ṣaʿba-1,name-aba-d1e606190,Ṣaʿba-صعبة,A,F 
 Ḥaba-חבא,Ḥaba,חבא,חובה /חיבה,F,,,,Vol-4-S-H_F-d8e3667-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Ḥaba-1,name-aba-d1e668178,Ḥaba-חבא,S-H,F 
 Ḥaba-חבא,Ḥaba,חבא,–,F,,,,Vol-4-S-H_F-d8e3718-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Ḥaba-2,name-aba-d1e668178,Ḥaba-חבא,S-H,F 
 Ḥabalus-חבלוס,Ḥabalus,חבלוס,–,F,,,,Vol-4-S-H_F-d8e3770-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Ḥabalus-1,name-abalus-d1e668288,Ḥabalus-חבלוס,S-H,F 
 Šabanag-Šabanag,Šabanag,Šabanag,שבאנג,M,,,,Vol-4-I_M-d8e10097-person,Vol-4-I_M-Iranian-Males-Šabanag-1,name-abanag-d1e663214,Šabanag-Šabanag,I,M 
 Abandanes-Abandanes,Abandanes,Abandanes,Abundantio,M,,,,Vol-3-P_M-d8e19-person,Vol-3-P_M-Persian-Males-Abandanes-1,name-Abandanes-d1e594656,Abandanes-Abandanes,P,M 
 Abandanes-Abandanes,Abandanes,Abandanes,Abundanti,M,,,,Vol-3-P_M-d8e61-person,Vol-3-P_M-Persian-Males-Abandanes-2,name-Abandanes-d1e594656,Abandanes-Abandanes,P,M 
 Abarsām-Abarsām,Abarsām,Abarsām,,M,,,,Vol-4-I_M-d8e17-person,Vol-4-I_M-Iranian-Males-Abarsām-1,name-Abarsm-d1e652261,Abarsām-Abarsām,I,M 
 Abascantus-̓̓Αβασκάντος,Abascantus,̓̓Αβασκάντος,אבסקנטה /אבסקטא,M,,,,Vol-2-G_M-d8e15-person,Vol-2-G_M-Greek-Males-Abascantus-1,name-Abascantus-d1e366715,Abascantus-̓̓Αβασκάντος,G,M 
 Abascantus-̓Αβάσκαντος,Abascantus,̓Αβάσκαντος,̓Αβάσκων,M,,,,Vol-3-G_M-d8e18-person,Vol-3-G_M-Greek-Males-Abascantus-1,name-Abascantus-d1e507138,Abascantus-̓Αβάσκαντος,G,M 
 Abaskantus-̓Αβασκάντος,Abaskantus,̓Αβασκάντος,,M,,̓Αβασκάντου,,Vol-1-G_M-d2e46-person,Vol-1-G_M-Abaskantus-1,name-Abaskantus-d1e199722,Abaskantus-̓Αβασκάντος,G,M 
 Abaskantus-̓Αβασκάντος,Abaskantus,̓Αβασκάντος,,M,,,—,Vol-1-G_M-d2e69-person,Vol-1-G_M-Abaskantus-2,name-Abaskantus-d1e199722,Abaskantus-̓Αβασκάντος,G,M 
 Šabbōī-Šabbōī,Šabbōī,Šabbōī,שבון,M,,,,Vol-4-I_M-d8e10149-person,Vol-4-I_M-Iranian-Males-Šabbōī-1,name-abb-d1e663270,Šabbōī-Šabbōī,I,M 
 Abba-אבא,Abba,אבא,,M,,Βαραβᾶς,,Vol-1-S-H_M-d2e61-person,Vol-1-S-H_M-Abba-1,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e82-person,Vol-1-S-H_M-Abba-2,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,אבויה,,,Vol-1-S-H_M-d2e104-person,Vol-1-S-H_M-Abba-3,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e140-person,Vol-1-S-H_M-Abba-4,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e162-person,Vol-1-S-H_M-Abba-5,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e184-person,Vol-1-S-H_M-Abba-6,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e229-person,Vol-1-S-H_M-Abba-7,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e251-person,Vol-1-S-H_M-Abba-8,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e275-person,Vol-1-S-H_M-Abba-9,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e301-person,Vol-1-S-H_M-Abba-10,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,אבה,,,Vol-1-S-H_M-d2e320-person,Vol-1-S-H_M-Abba-11,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e360-person,Vol-1-S-H_M-Abba-12,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,אבה,,,Vol-1-S-H_M-d2e383-person,Vol-1-S-H_M-Abba-13,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e406-person,Vol-1-S-H_M-Abba-14,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,̓Ααβαί,,Vol-1-S-H_M-d2e423-person,Vol-1-S-H_M-Abba-15,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,̓Ααβαεί,,Vol-1-S-H_M-d2e447-person,Vol-1-S-H_M-Abba-16,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,אבה,,,Vol-1-S-H_M-d2e477-person,Vol-1-S-H_M-Abba-17,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,אבי,,,Vol-1-S-H_M-d2e497-person,Vol-1-S-H_M-Abba-18,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,אבי,,,Vol-1-S-H_M-d2e520-person,Vol-1-S-H_M-Abba-19,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,,M,,,—,Vol-1-S-H_M-d2e540-person,Vol-1-S-H_M-Abba-20,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e37-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-1,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e71-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-2,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,רבה,M,,,,Vol-2-S-H_M-d8e102-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-3,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,רבה,M,,,,Vol-2-S-H_M-d8e136-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-4,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,רבה,M,,,,Vol-2-S-H_M-d8e170-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-5,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e207-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-6,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e241-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-7,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e272-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-8,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e309-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-9,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e340-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-10,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e371-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-11,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e406-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-12,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e437-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-13,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e468-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-14,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e499-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-15,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e542-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-16,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,רבא,M,,,,Vol-2-S-H_M-d8e573-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-17,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e610-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-18,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e644-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-19,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,בא,M,,,,Vol-2-S-H_M-d8e675-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-20,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e712-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-21,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e743-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-22,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,רבי,M,,,,Vol-2-S-H_M-d8e775-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-23,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e812-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-24,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e849-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-25,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,בא,M,,,,Vol-2-S-H_M-d8e883-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-26,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,בא,M,,,,Vol-2-S-H_M-d8e917-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-27,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,בא,M,,,,Vol-2-S-H_M-d8e951-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-28,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e985-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-29,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,בא,M,,,,Vol-2-S-H_M-d8e1025-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-30,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,רבא,M,,,,Vol-2-S-H_M-d8e1062-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-31,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e1099-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-32,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,בא,M,,,,Vol-2-S-H_M-d8e1130-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-33,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,בא,M,,,,Vol-2-S-H_M-d8e1165-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-34,name-Abba-d1e306142,Abba-אבא,S-H,M 
 Abba-אבא,Abba,אבא,–,M,,,,Vol-2-S-H_M-d8e1202-person,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-35,name-Abba-d1e306142,Abba-אבא,S-H,M 
